DATE,COMMODITY,QUANTITY_kg(DEMAND),PRICE per kg,TOTAL SALES
12/8/2023,Kalabasa ,57.833 kg  ,30,"1,735"
12/12/2023,Talong ,5.55 kg ,40,222
12/16/2023,Pipino,10.3 kg  ,40,412
12/20/2023,Malagkit mais ,6.75kg,100,"2,700"
,,,,
1/3/2024,Papaya ,13.36 kg  ,25,334
1/6/2024,Sili ,2.62 kg  ,80,210
1/9/2024,Sweetcorn ,162 kg ,40,"6,480"
1/12/2024,Talong ,1.5 kg ,40,60
1/15/2024,Hot pepper ,7.5 kg ,80,600
1/18/2024,Kalabasa ,14.76 kg ,25,369
1/21/2024,Papaya ,12.8 kg ,25,320
1/24/2024,Papaya ,13.36 kg ,25,334
1/27/2024,Hot pepper A,2.62 kg ,80,209
1/31/2024,Hot pepper ,2 kg ,50,100
,,,,
2/1/2024,Cabbage ,4.5 kg ,40,180
2/2/2024,Lettuce ,2.07kg,20,880
2/3/2024,Lettuce ,3.81kg,15,"1,215"
2/4/2024,Papaya ,9 kg ,25,225
2/5/2024,Hot pepper ,2.06 kg ,50,103
2/6/2024,Kalamansi ,5.2 kg ,50,260
2/8/2024,Pomelo ,34.5kg,25,575
2/10/2024,Lettuce ,3.81kg,20,"1,620"
2/12/2024,Lettuce ,11.52kg,15,"3,675"
2/14/2024,Pechay ,18 kg ,40,720
2/16/2024,Talong ,41.66 kg ,60,"2,499"
2/19/2024,Talong ,7.2 kg ,50,360
,,,,
4/16/2024,Papaya ,6.92 kg ,25,173
4/17/2024,Jackfruit ,12 kg ,25,300
4/18/2024,Lettuce ,0.33kg,20,140
4/19/2024,Lettuce,3.53kg,15,"1,125"
4/20/2024,Ampalaya ,2.78 kg ,50,139
4/21/2024,Papaya ,1 kg ,25,25
4/22/2024,Pechay ,13 kg ,40,520
4/23/2024,Talong,3.18 kg ,50,159
4/24/2024,Pepper ,1 kg  ,50,50
4/25/2024,Pakwan,50 kg ,50,"2,500"
4/26/2024,Pakwan,44.25 kg ,40,"1,770"
4/28/2024,Mangga ,130.27 kg ,90,"11,724.30"
4/30/2024,Lettuce ,18 kg ,15,270
,,,,30
5/1/2024,Ampalaya ,0.6 kg ,50,40
5/2/2024,Talong ,1kg ,40,390
5/3/2024,Pepper ,6.5 kg ,60,205
5/4/2024,Tomato ,4.1 kg ,50,"1,815.60"
5/5/2024,Melon ,30.26 kg ,60,"3,276.80"
5/6/2024,Pakwan,81.92 kg ,40,"24,010.20"
5/7/2024,Mangga,266.78 kg ,90,"27,524"
5/8/2024,Mangga,344.05 kg ,80,"10,529.40"
5/9/2024,Mangga ,150.42 kg ,70,"2,825"
5/10/2024,Mangga  ,56.5 kg ,50,380
5/11/2024,Tomato ,9.5 kg ,40,330
5/12/2024,Pepper,5.5 kg ,60,"1,340"
5/13/2024,Lettuce ,3.15kg,20,240
5/14/2024,Lettuce ,0.75kg,15,789
5/15/2024,Kalabasa ,31.56 kg ,25,"2,085"
5/16/2024,Melon ,34.75 kg ,60,"1,397"
5/17/2024,Melon,27.94 kg ,50,"2,810"
5/18/2024,Jackfruit ,56.2 kg ,50,"6,010"
5/19/2024,Pakwan ,150.25 kg ,40,"23,754.60"
5/20/2024,Mangga ,263.84 kg ,90,"12,528"
5/21/2024,Mangga  ,156.6 kg ,80,"4,690"
5/22/2024,Mangga ,67 kg ,70,"2,320"
5/23/2024,Mangga ,29 kg ,80,"3,409"
5/24/2024,Mangga  ,48.7 kg ,70,"1,054"
5/25/2024,Kalabasa ,52.7 kg ,20,"1,212"
5/26/2024,Melon  ,24.24 kg ,50,"2,164.98"
5/27/2024,Pakwan ,72.166 kg ,30,110
5/28/2024,Pepper ,2.2 kg ,50,134
5/29/2024,Tomato ,3.37 kg ,40,300
5/30/2024,Talong,6 kg ,50,
,,,,
7/1/2024,Rambutan ,185.7 kg,50,"9,285"
7/5/2024,Rambutan ,50 kg ,40,"2,000"
7/9/2024,Talong ,18.3 kg ,50,915
7/13/2024,Pipino ,20 kg ,50,"1,000"
7/17/2024,Upo ,14.5 kg ,50,725
7/21/2024,Pechay ,5 kg ,40,200
7/25/2024,Mais malagkit ,9 kg ,100,900
7/31/2024,Lettuce ,51 kg,20,"1,020"
,,,,
8/15/2024,Upo ,18.5 kg  ,50,925
8/16/2024,Lettuce ,0.85kg,20,360
8/17/2024,String beans ,7 kg ,50,350
8/18/2024,Talong ,21 kg ,40,840
8/19/2024,Papaya ,76.52 kg  ,25,"1,913"
8/20/2024,Rambutan ,10 kg  ,50,500
8/21/2024,Pomelo ,18kg,20,240
8/22/2024,Kalamansi ,6.5kg,20,520
8/24/2024,Talong,13.75 kg  ,40,550
8/27/2024,String beans ,41.75 kg  ,40,"1,670"
8/30/2024,Sweet pepper ,24.78 kg,80,"1,983"
8/31/2024,Luya ,2.6 kg,40,104
,,,,
9/6/2024,Upo ,5.5 kg ,40,220
9/12/2024,String beans,7 kg ,50,350
9/18/2024,Lettuce ,0.47kg,20,200
9/24/2024,Upo ,2 kg,40,80
9/30/2024,Pechay ,1 kg,40,40
,,,,
10/24/2024,Kalabasa ,30.7 kg ,20,614
10/24/2024,Sakto ,24.6 kg ,20,492
10/24/2024,Sakto ,110.2 kg ,15,"1,653"
10/24/2024,Suprema ,130.26 kg ,15,"1,953"
10/24/2024,Sili ,1 kg ,60,60
10/24/2024,Papaya ,8.76 kg ,25,219
10/24/2024,Papaya ,21.75 kg ,20,435
,,,,
11/4/2024,Melon ,30.55 kg ,40,"1,222"
11/9/2024,Pechay ,12.5kg,20,"1,000"
11/14/2024,Radish ,2 kg ,40,80
11/19/2024,Hot pepper ,2 kg ,40,80
11/24/2024,Papaya ,13 kg ,25,325
11/30/2024,Pomelo ,30kg,20,400
,,,,
12/1/2024,Sweetcorn ,45.4kg,100,"3,000"
12/2/2024,Okra ,7 kg,60,420
12/3/2024,Pipino,10 kg,40,400
12/4/2024,Pipino ,20 kg,35,700
12/5/2024,Kalabasa ,180 kg,20,"3,600"
12/6/2024,Talong ,8 kg,50,400
12/7/2024,String Beans,2 kg,50,100
12/8/2024,String Beans ,4 kg,40,160
12/9/2024,Sweet pepper ,8.8 kg,150,"1,320"
12/10/2024,Ampalaya ,5 kg,50,250
12/11/2024,Baguio beans ,3 kg,90,270
12/12/2024,Cabbage ,11 kg,60,660
12/13/2024,Pakwan ,135.12 kg,40,"5,404"
12/14/2024,Pakwan ,69 kg,30,"2,070"
12/15/2024,Pakwan ,37.8 kg,25,945
12/16/2024,Papaya ,27 kg,25,675
12/17/2024,Pomelo ,31.16 kg,25,779
12/18/2024,Malagkit mais ,87.14 kg,35,"3,049"
12/20/2024,Kalabasa ,46.15 kg,20,923
12/22/2024,Hot pepper ,3 kg,180,540
12/24/2024,Hot pepper ,4 kg,100,400
12/26/2024,Pechay ,7.5 kg,40,300
12/28/2024,Kangkong ,1.4 kg,50,70
12/30/2024,Lettuce ,14 kg,15,210
,,,,
2/11/2025,Tomato ,16.5 kg  ,60,990
2/19/2025,Beans ,18 kg  ,50,900
2/27/2025,Talong ,37.5 kg  ,60,"2,250"
3/7/2025,Pipino ,4.7 kg  ,40,188
3/15/2025,Lettuce,2.82kg,15,900
3/23/2025,Lettuce,1.83kg,20,780
3/31/2025,Kalamansi ,5.2 kg  ,50,260
4/8/2025,Papaya ,7.8 kg  ,25,195
4/16/2025,Sili ,0.4 kg  ,50,23
4/23/2025,Pomelo ,23 kg  ,25,575
,,,,
7/10/2025,Patola ,3.05 kg ,40,122
7/14/2025,Ampalaya ,9.02 kg  ,70,631
7/17/2025,Sayote ,8.5kg,10,340
7/21/2025,Pakwan ,12.05 kg  ,60,723
7/24/2025,Tomato ,6 kg  ,60,360
7/28/2025,Sweet pepper ,1.5 kg ,120,180
7/31/2025,Talong ,9.5 kg  ,60,570
8/4/2025,Carrots ,1.8 kg ,80,144
8/7/2025,String beans ,5 kg  ,50,250
8/11/2025,Baguio beans ,1 kg  ,100,100
8/14/2025,Pechay ,5.75kg,20,460
,,,,
9/25/2025,Talong ,39 kg   ,40,"1,560"
9/25/2025,Talong ,42 kg  ,30,"1,260"
9/25/2025,Dragon Fruit ,2.3 kg  ,160,368
9/25/2025,Pipino ,43 kg  ,40,"1,720"
9/25/2025,Ampalaya ,31 kg  ,60,"1,860"
9/25/2025,Banana lakatan ,62 kg  ,70,"4,340"
9/25/2025,Cabbage ,20 kg  ,50,"1,000"
9/25/2025,Tomato ,9.3 kg  ,50,465
9/25/2025,Pechay ,9 kg  ,50,450
9/25/2025,Sweet pepper ,8.8 kg  ,250,"2,200"
9/25/2025,Red pakwan ,64.033 kg  ,30,"1,920.99"
9/25/2025,Ampalaya ,12 kg  ,60,720
9/25/2025,Hot pepper ,10 kg  ,140,"1,400"
9/25/2025,Spring Onion ,3 kg  ,100,300
9/25/2025,Pipino ,5 kg  ,30,150
9/25/2025,Hot pepper ,13 kg  ,50,650
9/25/2025,Okra ,10 kg  ,70,700
9/25/2025,Hot pepper ,14 kg  ,50,700
9/25/2025,Pipino ,25 kg  ,40,"1,000"
